ID,Year,Mileage,State,Make,Model
81,2011,129283," NY",Audi,A64dr
82,2016,3368," CA",Dodge,JourneyFWD
83,2016,48901," TX",Volkswagen,Passat4dr
84,2015,47972," MN",Chevrolet,MalibuLS
85,2015,35886," OH",Volkswagen,Jetta
86,2014,46404," NC",GMC,Sierra
87,2016,22711," FL",Kia,ForteLX
88,2012,114321," KY",Chevrolet,ImpalaLT
89,2012,42783," AZ",Lexus,LS
90,2014,14722," CA",Chevrolet,Silverado
91,2017,3023," GA",Ram,1500Tradesman
92,2013,93375," GA",Nissan,Altima4dr
93,2014,18442," CT",Jeep,WranglerSahara
94,2013,134159," TX",Toyota,4RunnerSR5
95,2013,25239," NC",Ford,EdgeSEL
96,2014,49328," MD",Jeep,PatriotSport
97,2011,101734," MS",Chevrolet,ImpalaLT
98,2016,42129," CO",Honda,OdysseyEX-L
99,2010,59804," NJ",Ford,F-150Lariat
100,2011,46708," MD",INFINITI,FX35AWD
101,2006,112871," OK",Mazda,Mazda35dr
102,2013,32642," UT",Ford,F-150FX4
103,2012,66202," AZ",Ram,15002WD
104,2008,77000," CA",Dodge,Ram
105,2014,18470," GA",BMW,5
106,2014,35935," IL",Ford,FlexSEL
107,2017,9901," LA",Ford,MustangGT
108,2016,19434," AZ",Chevrolet,Tahoe4WD
109,2014,34744," MD",Honda,CR-VEX-L
110,2014,21257," NY",Volkswagen,Jetta
111,2009,122406," UT",Toyota,Corolla4dr
112,2013,32982," NY",INFINITI,G37
113,2013,70737," NC",Ford,FocusSE
114,2015,40464," VA",Ford,FusionSE
115,2012,59449," FL",Chevrolet,CruzeSedan
116,2014,31664," AZ",Subaru,Impreza2.0i
117,2012,50030," ME",Ford,Focus4dr
118,2012,130334," NJ",Ford,FocusSE
119,2006,98735," CA",Jeep,Wrangler2dr
120,2005,93375," GA",Honda,CR-VEX
121,2017,21450," TX",Ram,1500Laramie
122,2011,74567," NY",Kia,SportageAWD
123,2015,11039," NJ",Mitsubishi,Outlander
124,2004,125247," NY",Lexus,RXRX
125,2017,16037," KS",Chevrolet,CruzeSedan
126,2014,45667," VA",Buick,EnclavePremium
127,2014,19312," MN",Honda,CivicLX
128,2014,29608," CO",Toyota,TacomaBase
129,2007,97706," IL",Toyota,4Runner4WD
130,2017,32336," CA",Hyundai,Santa
131,2011,68649," FL",Chevrolet,Silverado
132,2017,5079," CA",Ram,1500Tradesman
133,2013,72792," VA",Dodge,Grand
134,2013,21390," MD",Volkswagen,Passat4dr
135,2015,23812," CA",Chevrolet,Silverado
136,2016,40032," CA",Jeep,CompassSport
137,2014,22292," TX",Chevrolet,Silverado
138,2012,108142," GA",Kia,Sorento2WD
139,2015,28298," FL",Jeep,Wrangler
140,2010,105060," TX",Ford,F-1502WD
141,2017,4342," MA",BMW,X5xDrive35i
142,2017,8876," CO",GMC,CanyonCrew
143,2017,23595," GA",Chevrolet,TahoeLT
144,2013,85398," TX",Ford,FusionSE
145,2015,1273," AL",Chevrolet,CamaroCoupe
146,2014,23632," NJ",Lexus,ES
147,2011,81412," FL",BMW,1
148,2014,43427," MA",Ford,F-1504WD
149,2017,6228," NC",Honda,Accord
150,2015,36767," FL",Ford,Transit
151,2014,60099," AZ",Honda,OdysseyEX
152,2014,53963," AL",Ford,MustangPremium
153,2008,122626," GA",BMW,3
154,2017,8087," KS",Kia,Soul+
155,2007,17389," NC",Chevrolet,Corvette2dr
156,2013,71745," IL",Lexus,GX
157,2016,41132," OR",Lincoln,Navigator
158,2008,161689," CA",INFINITI,FX35AWD
159,2017,27752," SC",Chevrolet,ImpalaLT
160,2013,101725," TX",Ford,EdgeSEL
161,2014,52279," CA",Dodge,Grand
162,2011,54692," FL",Cadillac,CTS
163,2009,73330," TX",Kia,Optima4dr
164,2014,30291," NC",Honda,Accord
165,2012,52458," CA",Dodge,Charger4dr
166,2011,46799," MA",Honda,AccordEX-L
167,2014,98332," WI",Ford,ExplorerXLT
168,2015,31383," NY",Ford,ExplorerXLT
169,2013,114855," GA",GMC,Savana
170,2014,32711," ME",Ford,F-1504WD
171,2017,15429," OH",Kia,OptimaEX
172,2015,75893," ID",Chrysler,200Limited
173,2013,51226," ID",Ford,F-150SuperCrew
174,2010,106604," NJ",Dodge,Grand
175,2007,89225," GA",Cadillac,EscaladeAWD
176,2015,43303," CA",Subaru,Outback2.5i
177,2015,26774," WV",Chevrolet,EquinoxAWD
178,2013,91900," CA",Ford,MustangBase
179,2015,23986," GA",Lexus,GSGS
180,2006,99500," AZ",Pontiac,Grand
181,2014,73559," TX",Chrysler,300Base
182,2005,185661," UT",Ford,F-250XLT
183,2011,64185," NH",Subaru,Impreza
184,2017,34968," IN",Chevrolet,MalibuLT
185,2015,50657," MA",Honda,CR-VLX
186,2008,146376," WA",Jeep,Wrangler4WD
187,2016,8968," RI",GMC,Savana
188,2010,75766," VA",Volkswagen,GTI4dr
189,2015,25663," IN",Chevrolet,EquinoxFWD
190,2015,34850," CA",Mercedes-Benz,E-ClassE350
191,2012,32321," NY",Hyundai,Sonata4dr
192,2012,42062," NY",Ford,FusionSE
193,2014,35229," NY",Toyota,CamryLE
194,2016,89400," CT",Volvo,XC90AWD
195,2011,101477," CA",Kia,Sorento2WD
196,2017,24971," TX",Chevrolet,MalibuLT
197,2015,70635," NC",Chevrolet,Malibu1LT
198,2013,90208," NY",Chevrolet,EquinoxFWD
199,2014,38615," MA",Hyundai,Santa
200,2013,50050," FL",Toyota,CorollaLE
201,2015,21735," TX",Toyota,RAV4LE
202,2011,71871," MO",Ford,Econoline
203,2013,106302," LA",Toyota,Tundra
204,2016,48555," GA",Toyota,SiennaXLE
205,2016,37225," KY",Honda,CivicLX
206,2016,28691," WA",GMC,TerrainFWD
207,2015,20720," MA",Honda,CivicLX
208,2014,35165," GA",Chevrolet,Malibu1LT
209,2016,40228," VA",Jeep,PatriotSport
210,2010,96229," CA",GMC,AcadiaFWD
211,2015,30675," TN",Kia,SportageEX
212,2017,5471," TX",Mercedes-Benz,C-ClassC
213,2016,5264," AL",GMC,Sierra
214,2011,81525," NY",BMW,3
215,2013,107000," MA",Ford,ExplorerLimited
216,2014,54076," OH",Ford,FocusSE
217,2014,40195," CT",Honda,OdysseyEX-L
218,2017,39426," CO",Kia,OptimaLX
219,2017,4507," CA",BMW,X3xDrive28i
220,2014,37684," GA",Lexus,ESES
221,2013,31205," MA",INFINITI,G37
222,2012,71422," IN",Volkswagen,Eos2dr
223,2015,57679," TN",Honda,AccordEX-L
224,2012,84921," MN",Chevrolet,CruzeSedan
225,2007,161001," GA",Chevrolet,Tahoe2WD
226,2012,80436," MD",Mercedes-Benz,M-ClassML350
227,2011,65292," GA",Mazda,CX-7FWD
228,2017,21112," IL",Chevrolet,TahoeLT
229,2017,15731," PA",Dodge,ChallengerR/T
230,2009,130850," CA",Buick,Lucerne4dr
231,2016,33293," SC",Toyota,CorollaLE
232,2015,27463," VA",Toyota,CamrySE
233,2015,20403," MI",Chevrolet,EquinoxFWD
234,2010,89946," IL",Land,Rover
235,2011,89079," CA",Chevrolet,Silverado
236,2014,50388," NC",Chevrolet,EquinoxFWD
237,2016,49023," NC",GMC,TerrainAWD
238,2013,52009," MT",Ford,F-150SuperCrew
239,2016,13481," AZ",Mazda,MX5
240,2013,43135," TN",INFINITI,G37
241,2015,42808," RI",Ford,ExplorerXLT
242,2015,56520," TX",Ford,F-1504WD
243,2012,82726," IL",Honda,Accord
244,2014,50261," TX",Ford,TaurusSEL
245,2003,108025," MI",Ford,F-250XL
246,2017,1641," TX",Kia,OptimaLX
247,2016,42043," AZ",Jeep,Grand
248,2014,47252," KY",Chevrolet,MalibuLS
249,2014,66552," KS",Ford,F-1504WD
250,2013,85705," MN",Ford,ExplorerLimited
251,2009,92212," FL",Honda,CR-V2WD
252,2007,96790," IL",Cadillac,CTS4dr
253,2008,186523," NE",Dodge,Ram
254,2014,28385," WA",Volkswagen,TiguanS
255,2015,13657," FL",Toyota,CorollaS
256,2014,23914," OH",Honda,Accord
257,2009,85364," CO",BMW,3
258,2012,35573," CA",Porsche,9112dr
259,2016,13172," FL",Volkswagen,Golf
260,2011,118343," MO",GMC,Sierra
261,2015,62103," TX",GMC,Yukon4WD
262,2015,29235," TX",Chevrolet,Tahoe4WD
263,2010,111555," MD",Volkswagen,Eos2dr
264,2011,46193," TX",Chevrolet,Camaro2dr
265,2008,65408," NC",Cadillac,CTS4dr
266,2011,68346," CA",BMW,5
267,2015,35927," FL",Kia,OptimaEX
268,2016,41446," CA",Jeep,Grand
269,2014,59328," CA",Honda,Civic
270,2014,30377," IL",GMC,Sierra
271,2017,23252," OK",Chrysler,300300C
272,2012,99596," AZ",GMC,AcadiaFWD
273,2013,110979," TX",Toyota,FJ
274,2015,69470," NC",Nissan,Pathfinder4WD
275,2016,41937," TN",Dodge,ChargerSXT
276,2016,19821," WI",Chevrolet,EquinoxFWD
277,2013,41302," TN",Honda,Accord
278,2012,32806," AL",Buick,EnclaveConvenience
279,2017,6641," NJ",Mercedes-Benz,C-ClassC
280,2012,34453," FL",Kia,SorentoLX
281,2016,17418," MA",GMC,Sierra
282,2011,69375," MD",Volkswagen,Touareg4dr
283,2016,12879," FL",Chevrolet,Suburban4WD
284,2011,94837," AK",Buick,Regal4dr
285,2017,8915," PA",Mitsubishi,Outlander
286,2013,131261," MN",Chevrolet,Silverado
287,2017,17612," PA",Buick,EnclaveLeather
288,2012,49919," NV",Ram,35004WD
289,2017,13375," OK",Toyota,CorollaLE
290,2017,24399," NE",Jeep,Grand
291,2013,55663," IL",Honda,Civic
292,2017,11456," NV",Honda,Accord
293,2016,5187," NV",Chevrolet,Silverado
294,2014,31874," MN",Ford,EdgeLimited
295,2016,23448," WA",Ford,EdgeSEL
296,2016,19914," WA",GMC,TerrainAWD
297,2014,46277," MD",Mitsubishi,Outlander
298,2012,47877," NM",Ram,15004WD
299,2009,63159," CO",Chevrolet,EquinoxAWD
300,2015,29018," GA",Ford,FusionSE
301,2011,121419," AR",Chevrolet,Silverado
302,2008,59537," MO",Mercury,Grand
303,2013,69736," MO",Ford,TaurusSEL
304,2013,39243," VA",Toyota,PriusFour
305,2016,39996," TX",Chevrolet,ColoradoCrew
306,2014,28057," CA",Volkswagen,TiguanSEL
307,2016,70346," AZ",Chevrolet,Silverado
308,2015,69117," GA",GMC,Yukon2WD
309,2004,157222," KS",Honda,PilotEX
310,2013,58475," OK",Chevrolet,Silverado
311,2017,21409," FL",Chevrolet,CruzeSedan
312,2014,64375," SC",Ford,ExplorerXLT
313,2014,35050," OH",Ford,EscapeSE
314,2006,105489," NE",Dodge,Ram
315,2014,36347," NY",Nissan,MuranoAWD
316,2005,43746," PA",Ford,Econoline
317,2013,32577," CA",MINI,Cooper
318,2014,38041," FL",Toyota,CamrySE
319,2008,22377," NY",Ford,Super
320,2011,153764," NC",Hyundai,Santa
321,2012,82783," AR",GMC,Sierra
322,2013,96340," MN",GMC,AcadiaAWD
323,2012,41690," IL",Chrysler,Town
324,2014,3047," OH",Chevrolet,ImpalaLS
325,2010,81805," NH",Scion,tC2dr
326,2017,20085," GA",Subaru,Outback2.5i
327,2011,192130," TX",Ford,F-150XLT
328,2016,44640," MD",Chevrolet,Suburban4WD
329,2014,58243," CA",Toyota,CorollaLE
330,2015,46798," NY",Jeep,Grand
331,2011,86771," TX",Ford,EdgeLimited
332,2016,39468," KY",Chevrolet,Malibu
333,2014,51905," MD",Ford,FusionSE
334,2012,59990," CA",Kia,OptimaLX
335,2015,44545," UT",Jeep,Grand
336,2010,152190," TX",Chevrolet,Silverado
337,2013,85745," FL",Honda,CivicLX
338,2006,132474," NC",Buick,Lucerne4dr
339,2010,69834," TX",Ford,Fusion4dr
340,2011,84499," CA",Jeep,Wrangler4WD
341,2016,9699," GA",Volkswagen,Jetta
342,2010,111686," TX",Toyota,4RunnerRWD
343,2014,43481," CA",Chevrolet,Silverado
344,2012,64187," IL",Volvo,S60T5
345,2015,11120," NY",Mitsubishi,Outlander
346,2012,59662," CO",Toyota,Tundra
347,2016,34115," CA",Honda,OdysseyLX
348,2015,32601," TX",Lexus,IS
349,2014,29582," CA",Toyota,CorollaLE
350,2015,25110," MD",Jeep,WranglerRubicon
351,2012,87889," NJ",Honda,CivicEX
352,2009,45047," VA",Dodge,Grand
353,2016,43786," IA",Jeep,CherokeeLimited
354,2008,161055," CO",Ford,Expedition
355,2011,79043," TX",Ford,ExplorerXLT
356,2011,98806," MI",Chevrolet,TraverseAWD
357,2016,25416," PA",Ford,MustangGT
358,2017,6065," CA",BMW,3
359,2015,21519," IA",Jeep,Grand
360,2016,35345," CO",Ford,Expedition
361,2013,104126," VA",Dodge,Grand
362,2013,68985," SC",Subaru,Outback2.5i
363,2015,39338," MA",Honda,Civic
364,2008,132608," CA",Buick,Lucerne4dr
365,2016,19764," CA",Toyota,CorollaLE
366,2013,90810," IL",Dodge,Grand
367,2014,23508," IL",Chevrolet,Malibu1LT
368,2012,73537," VA",GMC,AcadiaFWD
369,2014,18875," TX",Cadillac,SRXLuxury
370,2014,27535," PA",Toyota,RAV4XLE
371,2015,31718," NC",Toyota,RAV4XLE
372,2012,69171," TX",Chevrolet,MalibuLS
373,2017,37613," NM",Buick,EnclaveLeather
374,2006,54240," TN",Ford,Mustang2dr
375,2014,61060," KY",Chevrolet,Tahoe4WD
376,2016,37677," TX",Toyota,CamrySE
377,2007,81231," CA",Volkswagen,Jetta
378,2015,19201," NJ",Toyota,CorollaLE
379,2015,30250," NJ",Ford,EdgeSEL
380,2010,87241," TX",Ford,Mustang2dr
381,2013,50845," NJ",Mercedes-Benz,M-ClassML350
382,2006,127060," CA",Honda,RidgelineRTL
383,2014,29188," MI",GMC,TerrainAWD
384,2007,132624," CO",Ford,F-1502WD
385,2012,54623," NJ",Chevrolet,Malibu1LT
386,2015,16," IN",Kia,Forte
387,2017,1446," TX",Toyota,Tacoma4WD
388,2009,110479," PA",Volkswagen,GTI2dr
389,2015,17631," KS",Chevrolet,MalibuLS
390,2016,9947," WA",Mercedes-Benz,C-ClassC300
391,2000,99832," TX",Ford,F-250XLT
392,2007,131669," MS",GMC,Sierra
393,2006,159562," CO",Toyota,Tundra2WD
394,2016,20436," RI",Ford,F-150XL
395,2012,43243," NC",Acura,RDXAWD
396,2010,65700," IL",Lexus,RXRX
397,2009,94143," FL",Lexus,RXRX
398,2017,2367," CO",Honda,CivicEX-L
399,2016,18074," CA",Chevrolet,Silverado
400,2013,36028," OK",Jeep,Wrangler
401,2014,54575," MD",BMW,X3xDrive28i
402,2009,68586," OH",Toyota,Matrix5dr
403,2014,75687," OK",Chrysler,200LX
404,2008,91078," NC",Volvo,S804dr
405,2005,144045," WI",Ford,F-1502WD
406,2008,121088," TX",Toyota,Camry
407,2011,137596," VA",Hyundai,Santa
408,2013,30056," MO",Volkswagen,Passat4dr
409,2012,47067," MI",Ford,FocusSEL
410,2013,62587," MI",Nissan,Altima4dr
411,2011,77167," FL",Honda,CR-VEX-L
412,2013,31058," GA",Chevrolet,CamaroCoupe
413,2015,37748," TX",Toyota,PriusThree
414,2016,48794," CA",Toyota,CorollaL
415,2013,135048," MT",Subaru,Outback2.5i
416,2015,16990," AZ",Chevrolet,CamaroCoupe
417,2015,17791," NC",Honda,Civic
418,2011,131839," TN",Toyota,TacomaBase
419,2015,31760," TX",Kia,Forte
420,2015,43802," KS",BMW,X3xDrive28i
421,2014,29377," AZ",GMC,AcadiaFWD
422,2001,129534," CO",BMW,X5AWD
423,2007,44575," NJ",Ford,MustangGT
424,2011,71567," KS",Subaru,Impreza
425,2017,22946," AR",Toyota,RAV4XLE
426,2015,50998," VA",Chrysler,200Limited
427,2013,72241," CO",GMC,Yukon
428,2017,8896," IL",Chevrolet,CruzeSedan
429,2015,43344," AZ",GMC,Sierra
430,2014,38932," OH",BMW,5
431,2013,137562," NC",Chevrolet,Malibu1LT
432,2016,41405," TX",Ford,ExplorerXLT
433,2016,15887," AL",Chevrolet,Silverado
434,2014,46766," VA",Ford,FusionSE
435,2011,175631," ND",Chevrolet,Tahoe4WD
436,2015,91344," WA",Chevrolet,CamaroCoupe
437,2016,40126," IL",Jeep,CompassSport
438,2015,35123," CA",Honda,Civic
439,2016,7105," NE",Chevrolet,ColoradoCrew
440,2012,102405," MN",Ford,F-150Lariat
441,2014,40239," PA",MINI,Cooper
442,2015,20989," MS",Ford,EscapeFWD
443,2014,14522," UT",Honda,CR-VEX
444,2016,25263," NC",BMW,3
445,2015,23548," TX",Kia,SorentoLX
446,2012,59766," NY",Acura,RDXAWD
447,2016,49413," NJ",Chrysler,Town
448,2017,20872," GA",Chevrolet,CruzeSedan
449,2012,81021," CO",Volkswagen,Passat4dr
450,2010,116113," CA",Mercedes-Benz,C-Class4dr
451,2013,31895," TX",Toyota,HighlanderBase
452,2012,55158," CA",MINI,Cooper
453,2017,34245," MO",Kia,SportageAWD
454,2015,41666," MN",Ford,ExplorerXLT
455,2009,50974," OR",Dodge,Grand
456,2015,64996," IL",Hyundai,Sonata4dr
457,2013,22016," CA",Nissan,MuranoS
458,2013,23174," TX",Subaru,Forester2.5X
459,2014,51645," NC",Lexus,ESES
460,2014,54778," PA",Jeep,Wrangler
461,2016,29010," AZ",Toyota,4Runner4WD
462,2014,97695," VA",Ford,ExplorerBase
463,2012,112397," WI",Toyota,PriusFour
464,2014,19864," NE",Toyota,Tundra
465,2014,98511," NE",Ford,F-1504WD
466,2011,74261," CA",Honda,Civic
467,2011,85962," MO",Ford,EdgeSEL
468,2013,36798," VA",Lexus,ISIS
469,2014,62579," FL",Kia,SoulBase
470,2016,38766," VA",Jeep,CompassLatitude
471,2017,30901," IL",Kia,SorentoLX
472,2017,19004," TX",Toyota,RAV4XLE
473,2017,4178," CA",BMW,3
474,2014,71589," TX",GMC,Sierra
475,2009,56721," NC",Chevrolet,Malibu4dr
476,2015,31871," CA",Jeep,WranglerSahara
477,2014,47689," NJ",BMW,5
478,2017,24289," GA",Toyota,CorollaLE
479,2008,98455," MA",Mazda,CX-9AWD
480,2017,15890," WA",Ford,F-150XLT
481,2013,95213," IN",Dodge,Grand
482,2005,124572," CO",Toyota,Highlander4dr
483,2009,145019," CO",Chevrolet,Suburban4WD
484,2017,26497," TN",Chevrolet,TraverseAWD
485,2014,58190," TX",Buick,EnclaveLeather
486,2015,45803," IL",Volkswagen,Jetta
487,2016,976," FL",Ford,FusionSE
488,2014,9564," FL",Volkswagen,Jetta
489,2013,152000," AL",GMC,Sierra
490,2010,120815," FL",Toyota,Prius5dr
491,2014,85127," AL",Ford,EdgeSEL
492,2014,43761," ID",Ford,F-150XLT
493,2012,109072," FL",Subaru,Outback2.5i
494,2004,101552," WA",Ford,"Excursion137"""
495,2014,91763," FL",Ford,F-1502WD
496,2013,86286," TX",Honda,CivicLX
497,2013,86667," OK",Honda,OdysseyEX-L
498,2013,43907," NC",Toyota,CorollaLE
499,2014,59690," NY",BMW,3
500,2013,76164," GA",Honda,OdysseyEX-L
501,2015,35912," TX",Subaru,WRXSTI
502,2013,123635," IN",GMC,Yukon
503,2017,19155," SC",Ford,F-150XLT
504,2008,207105," WA",Chevrolet,Avalanche4WD
505,2010,75000," PA",Dodge,Grand
506,2013,27518," CO",Jeep,Wrangler
507,2017,2071," PA",Hyundai,TucsonLimited
508,2010,120813," OH",Honda,CivicEX
509,2016,14052," NC",Chevrolet,Silverado
510,2017,11785," IN",Chevrolet,CruzeSedan
511,2017,22019," FL",Chevrolet,TahoeLT
512,2014,66673," TX",Honda,CivicEX-L
513,2014,101078," NE",Chevrolet,Silverado
514,2015,37572," FL",Mazda,CX-9Grand
515,2017,21860," AZ",Jeep,PatriotLatitude
516,2012,53945," TX",Toyota,Prius5dr
517,2015,54139," KY",Toyota,CamrySE
518,2014,81421," MA",Ford,FlexSE
519,2009,85377," NJ",BMW,X5AWD
520,2012,74987," FL",Honda,Civic
521,2011,103511," MT",Jeep,Grand
522,2016,16468," CA",GMC,Sierra
523,2016,27327," TX",Ford,FocusSE
524,2010,26787," NM",Jeep,LibertySport
525,2016,47808," CA",Chrysler,Town
526,2015,45923," ID",Jeep,Grand
527,2017,8372," KS",Subaru,Legacy2.5i
528,2012,79839," IL",Chevrolet,MalibuLS
529,2015,26558," PA",Toyota,TundraSR5
530,2015,34368," PA",Jeep,WranglerSport
531,2013,67261," VA",Ford,F-150XLT
532,2010,90714," FL",Ford,Taurus4dr
533,2016,35868," FL",Toyota,AvalonXLE
534,2005,60847," WA",INFINITI,G35
535,2017,18976," NY",Ford,ExplorerLimited
536,2007,57050," FL",Audi,A34dr
537,2012,69007," CA",Toyota,TundraBase
538,2013,74262," TN",Dodge,DurangoSXT
539,2016,43779," UT",Ford,FusionSE
540,2015,48113," TX",Ford,F-1502WD
541,2008,125224," OH",Nissan,Pathfinder4WD
542,2011,55204," CO",Chevrolet,Silverado
543,2013,46924," FL",Lexus,RX
544,2016,25308," PA",Ford,EdgeSEL
545,2013,45276," CA",Toyota,Tundra
546,2013,76789," MI",Chevrolet,Silverado
547,2014,29053," FL",Toyota,CorollaL
548,2012,43689," AL",Chevrolet,Malibu1LT
549,2015,45957," GA",Buick,LaCrosseFWD
550,2012,88666," FL",Volkswagen,CC4dr
551,2017,15377," PA",Chevrolet,CruzeSedan
552,2013,37566," NJ",INFINITI,G37
553,2014,16218," FL",BMW,7
554,2014,50000," VA",Ford,Econoline
555,2011,65496," PA",Toyota,Sienna5dr
556,2016,33393," VA",GMC,Yukon4WD
557,2015,47100," MN",Chrysler,Town
558,2017,20648," GA",Chrysler,300300C
559,2016,28556," NC",Ford,F-1504WD
560,2013,122697," MN",Ford,EdgeSEL
561,2005,184497," MN",Chevrolet,Silverado
562,2016,3640," TX",Toyota,CorollaLE
563,2016,27725," SC",Ford,F-1502WD
564,2016,23915," LA",Chevrolet,Silverado
565,2014,87095," NC",Volkswagen,Passat4dr
566,2015,45814," NE",Chevrolet,Silverado
567,2016,42783," AR",Toyota,CamrySE
568,2015,16472," CA",Lexus,ES
569,2016,13125," WI",Nissan,Titan
570,2013,57100," IL",Toyota,CorollaS
571,2015,7465," PA",Toyota,RAV4XLE
572,2015,47047," TN",Lexus,RX
573,2016,43614," NC",Jeep,CompassSport
574,2015,44622," CA",Dodge,DurangoAWD
575,2015,36564," LA",Kia,SorentoEX
576,2013,113206," TX",Ford,ExplorerXLT
577,2015,19030," CA",Chevrolet,MalibuLS
578,2015,42597," NY",Volkswagen,Golf
579,2008,127186," IL",Dodge,Grand
580,2016,32804," NC",Toyota,HighlanderFWD
581,2014,39065," SD",Chevrolet,Silverado
582,2007,116124," CA",Cadillac,Escalade
583,2014,65073," TX",Ford,TaurusSEL
584,2016,27820," CA",GMC,Yukon
585,2010,117069," SD",Dodge,JourneyAWD
586,2015,15429," NH",Toyota,CorollaLE
587,2010,177213," OR",Ford,Fusion4dr
588,2009,136205," WA",Toyota,Corolla4dr
589,2016,21977," NH",Ford,EscapeSE
590,2016,35348," TX",Jeep,CompassSport
591,2012,54576," NC",Lexus,IS
592,2006,130316," UT",Honda,Accord
593,2015,14396," WI",Chrysler,300Limited
594,2017,17645," MS",Ford,Super
595,2017,6322," CO",Volkswagen,Golf
596,2014,31333," NJ",Jeep,Grand
597,2007,106916," VA",Toyota,CamryBase
598,2015,27483," FL",Chevrolet,Silverado
599,2016,27637," WA",Toyota,CorollaLE
600,2014,39070," MD",Chevrolet,CamaroCoupe
601,2010,61211," NY",Chevrolet,Express
602,2002,119932," NM",Chevrolet,Tahoe4dr
603,2015,80784," FL",GMC,Sierra
604,2015,74146," TX",Ford,Super
605,2014,37263," AZ",BMW,5
606,2012,53746," WA",Acura,TSXAutomatic
607,2015,26247," IA",Dodge,Grand
608,2015,47521," NC",Ford,EscapeSE
609,2010,113250," GA",GMC,Sierra
610,2016,17702," MO",Ford,FusionS
611,2016,40727," CA",Toyota,CamryXLE
612,2015,17624," GA",Chevrolet,CorvetteCoupe
613,2011,27571," CT",Nissan,MuranoAWD
614,2017,23004," WI",Chevrolet,TraverseAWD
615,2002,89907," IL",Toyota,TacomaBase
616,2007,115126," VA",Toyota,CamryLE
617,2014,65035," NJ",Lexus,IS
